doi,title,authors,category,fetch_date,verdict,confidence,super_category,sub_category,reason
10.64898/2026.04.29.720997,A 37-million-particle dataset from over 250 experiments to accelerate data-driven cryo-EM analysis,"Zamanos, A.; Kyrilis, F. L.; Koromilas, P.; Kastritis, P. L.; Panagakis, Y.",bioinformatics,2026-05-03,RELEVANT,HIGH,resource,dataset,Large-scale annotated particle dataset (37M particles) enabling data-driven cryo-EM analysis and foundation model training.
10.64898/2026.02.16.706241,A Pilot Evaluation of Open-Weight Large Language Models for Screening RNA-seq Metadata in Public Databases,"Shintani, M.; Andrade, D.; Bono, H.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,software_tool,Workflow combining APIs and LLMs for metadata screening and curation in public omics databases.
10.64898/2026.04.29.721775,A Scalable Sign-Aware Multi-Omics Knowledge Graph Foundation Model for Mechanistic Drug Action and Clinical Response Predictions,"Mottaqi, M.; Zhang, S.; Adoremos, I.; Zhang, P.; Xie, L.",systems-biology,2026-05-04,RELEVANT,HIGH,computational,foundation_model,Large-scale pre-trained graph neural network on multi-omics data designed for transfer learning across drug discovery and clinical prediction tasks.
10.64898/2026.04.30.722039,A layered standards framework for integrating single-cell and spatial omics data into brain cell atlases,"Ray, P. L.; Miller, J. A.; Jarecka, D.; Smith, K. A.; Baker, P. M.; Ng, L.; Martone, M. E.; Trivedi, P.; Abeysinghe, R.; Anderson, L.; Bandrowski, A. E.; Edyta, V.; Bhandiwad, A. A.; Chhetri, T. R.; Cui, L.; Giglio, M.; Goldy, J.; Hong, N.; Huang, H.; Huang, Y.; Hussain, Y.; Johansen, N.; Kenney, M.; Kruse, L.; Li, X.; Meldrim, J.; Mollenkopf, T.; Nadendla, S.; Osumi-Sutherland, D.; Sanchez, R.; Scheuermann, R. H.; Tao, S.; Vanderburg, C. R.; Yang, Y.; Ropelewski, A.; Mufti, S.; Lein, E.; Xu, H.; Zheng, W. J.; Ghosh, S. S.; White, O.; Hawrylycz, M.; Zhang, G.-Q.; Thompson, C. L.",genomics,2026-05-04,RELEVANT,HIGH,resource,infrastructure,Standards framework and data integration infrastructure enabling interoperable brain cell atlas curation and community reuse.
10.1101/689851,A novel metric reveals previously unrecognized distortion in dimensionality reduction of scRNA-Seq data,"Hamilton, T.; Sparta, B.; Cooley, S. M.; Aragones, S. D.; Ray, J. C. J.; Deeds, E. J.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,benchmark,Systematic evaluation of distortion in popular dimensionality reduction methods using a novel metric on standardized data.
10.64898/2026.04.28.721354,A unified framework for causal gene regulatory network inference grounded in orthogonal molecular evidence,"Pugh, F. B.; Li, R.; Lai, W.",systems-biology,2026-05-01,RELEVANT,HIGH,computational,new_algorithm,Novel mathematical framework inferring causal GRNs with explicit dynamical models reproducing transcriptional states as stable attractors.
10.64898/2026.04.30.721698,"A unified photosensitizer platform for in situ DNA, RNA, and protein directed proximity labeling","Biletch, E. B.; Herlihy, C. P.; Li, L.; Krebs, M.; Kelly, C. J.; Longhi, N. J.; Weissenfels, O.; Goldberg, H.; Brandt, K.; Grimm, J. B.; Lavis, L. D.; Huttlin, E. L.; Schweppe, D. K.; Backus, K. M.; Beliveau, B. J.",cell-biology,2026-05-01,RELEVANT,HIGH,experimental,new_technology,"Novel photocatalytic proximity labeling chemistry enabling unified proteome profiling of protein, RNA, and DNA targets."
10.64898/2026.04.29.721532,AM-DMF-SCP-pro: An Ultrafast and Streamlined Nanolitre-Scale Lab-on-a-Chip Platform for Single-Cell Proteomics and Tumor Microenvironment Profiling,"Jin, K.; Yang, Z.; Ding, A.; Wang, R.; Ma, Y.; Wang, Y.; Tang, M.; Wu, Y.; Liu, Q.; Ji, J.; Chang, C.; Hu, S.; Dong, W.; Ding, J.; Chen, Y.; Ma, H.; Zhou, H.",systems-biology,2026-05-04,RELEVANT,HIGH,experimental,new_platform,"Novel microfluidic hardware platform enabling faster, lower-input single-cell proteomics with improved sensitivity and reproducibility."
10.64898/2026.04.06.716850,"Agentic systems are adept at solving well-scoped, verifiable problems in computational biology","Nair, S.; Gunsalus, L.; Orcutt-Jahns, B.; Rossen, J.; Lal, A.; Donno, C. D.; Celik, M. H.; Fletez-Brant, K.; Xie, X.; Bravo, H. C.; Eraslan, G.",bioinformatics,2026-05-03,RELEVANT,HIGH,computational,benchmark,Systematic benchmark for evaluating agentic AI systems on diverse computational biology tasks with standardized evaluation framework.
10.64898/2026.04.28.721526,Aiki-GeNano: Multi-Stage Preference Optimization for Generative Design of Developable Nanobodies,"Meda, R. S.; Doshi, J.; Iyer, E.; Shastry, S.; Mysore, V.",bioinformatics,2026-05-01,RELEVANT,HIGH,computational,new_algorithm,Novel multi-stage language-model alignment pipeline using DPO and GRPO for protein design with integrated developability optimization.
